,coffee_id,species,country_of_origin,continent,total_cup_points,cupper_points,aroma,flavor,aftertaste,acidity,body,balance,high_quality
267,268,Arabica,Colombia,South America,83.92,7.67,7.83,7.75,7.58,7.58,7.75,7.75,1
268,269,Arabica,Colombia,South America,83.92,7.58,7.75,7.58,7.67,7.83,7.83,7.67,1
269,270,Arabica,Taiwan,Asia,83.92,7.17,8.0,7.92,7.92,7.92,7.67,7.33,1
270,271,Arabica,Colombia,South America,83.92,7.5,7.67,7.83,7.67,7.75,7.67,7.83,1
271,272,Arabica,Mexico,North America,83.92,7.67,7.67,7.75,7.58,7.67,7.75,7.83,1
272,273,Arabica,Mexico,North America,83.92,7.83,7.5,7.67,7.58,7.83,7.75,7.75,1
273,274,Arabica,Mexico,North America,83.92,7.75,7.75,7.92,7.83,7.92,7.75,7.67,1
274,275,Arabica,Colombia,South America,83.83,7.75,7.92,7.58,7.5,7.83,7.58,7.67,1
275,276,Arabica,Colombia,South America,83.83,7.58,7.83,7.67,7.5,7.75,7.75,7.75,1
276,277,Arabica,Costa Rica,North America,83.83,7.83,7.67,7.67,7.75,7.67,7.5,7.75,1
277,278,Arabica,Guatemala,North America,83.83,7.67,7.75,7.75,7.5,7.75,7.83,7.58,1
278,279,Arabica,Taiwan,Asia,83.83,7.75,7.75,7.67,7.5,7.75,7.75,7.67,1
279,280,Arabica,Brazil,South America,83.83,8.0,7.25,7.58,7.42,8.0,7.75,7.83,1
280,281,Arabica,Taiwan,Asia,83.83,7.83,7.67,7.75,7.67,7.75,7.42,7.75,1
281,282,Arabica,Ethiopia,Africa,83.83,7.75,7.75,7.75,7.67,7.67,7.58,7.67,1
282,283,Arabica,Brazil,South America,83.83,8.08,7.67,7.67,7.58,7.5,7.83,8.17,1
283,284,Arabica,Costa Rica,North America,83.83,7.67,7.83,7.42,7.5,7.83,7.75,7.83,1
284,285,Arabica,Guatemala,North America,83.83,7.75,7.58,7.83,7.33,8.0,7.58,7.75,1
285,286,Arabica,Brazil,South America,83.83,7.75,7.92,7.5,7.33,7.67,8.17,7.5,1
286,287,Arabica,Ecuador,South America,83.83,7.67,7.5,7.67,7.58,7.75,7.83,7.83,1
287,288,Arabica,Colombia,South America,83.83,7.92,7.67,7.58,7.58,7.83,7.58,7.67,1
288,289,Arabica,Guatemala,North America,83.83,7.67,7.5,7.83,7.5,7.83,7.83,7.67,1
289,290,Arabica,Mexico,North America,83.83,7.92,7.67,8.0,7.67,7.42,7.67,7.5,1
290,291,Arabica,Mexico,North America,83.83,7.83,7.67,7.58,7.5,7.75,7.75,7.75,1
291,292,Arabica,Brazil,South America,83.83,7.83,7.83,7.83,7.58,7.67,7.5,7.58,1
292,293,Arabica,Thailand,Asia,83.83,7.5,7.75,7.75,7.58,8.0,7.67,7.58,1
293,294,Arabica,Thailand,Asia,83.83,7.75,7.5,7.83,7.58,7.58,7.75,7.83,1
294,295,Arabica,Ethiopia,Africa,83.83,7.5,7.58,7.83,7.58,8.0,7.83,7.5,1
295,296,Arabica,Kenya,Africa,83.75,7.83,7.75,7.58,7.5,7.58,7.75,7.75,1
296,297,Arabica,Brazil,South America,83.75,7.75,7.67,7.67,7.58,7.75,7.67,7.67,1
297,298,Arabica,Colombia,South America,83.75,7.75,7.83,7.83,7.58,7.58,7.58,7.58,1
298,299,Arabica,Taiwan,Asia,83.75,7.75,7.67,7.67,7.58,7.58,7.67,7.83,1
299,300,Arabica,Colombia,South America,83.75,7.67,7.92,7.75,7.5,7.67,7.75,7.5,1
300,301,Arabica,China,Asia,83.75,7.75,7.83,7.75,7.67,7.5,7.58,7.67,1
301,302,Arabica,Colombia,South America,83.75,7.75,7.75,7.67,7.5,7.67,7.58,7.83,1
302,303,Arabica,Uganda,Africa,83.75,7.67,8.0,7.92,7.58,7.75,7.33,7.5,1
303,304,Arabica,United States of America,North America,83.75,7.75,7.83,7.83,7.83,7.67,8.0,8.17,1
304,305,Arabica,Colombia,South America,83.75,7.67,7.67,7.67,7.67,7.92,7.5,7.67,1
305,306,Arabica,Colombia,South America,83.75,7.5,7.67,7.42,7.42,7.42,8.0,8.33,1
306,307,Arabica,Colombia,South America,83.75,7.75,7.58,7.67,7.75,7.67,7.67,7.67,1
307,308,Arabica,Colombia,South America,83.75,7.58,7.75,7.67,7.75,7.58,7.42,8.0,1
308,309,Arabica,United States of America,North America,83.75,7.75,7.25,7.42,7.67,7.58,7.83,8.25,1
309,310,Arabica,Mexico,North America,83.75,7.83,7.83,7.58,7.58,7.5,7.75,7.67,1
310,311,Arabica,Guatemala,North America,83.75,7.75,7.67,7.58,7.58,7.67,7.75,7.75,1
311,312,Arabica,Colombia,South America,83.75,8.08,7.83,7.83,7.58,7.33,7.42,7.67,1
312,313,Arabica,Colombia,South America,83.75,7.75,7.75,7.67,7.25,7.25,7.58,8.5,1
313,314,Arabica,United States of America,North America,83.75,7.75,7.83,7.67,7.75,7.67,7.58,7.5,1
314,315,Arabica,Brazil,South America,83.67,7.83,7.67,7.83,7.5,7.67,7.67,7.5,1
315,316,Arabica,Kenya,Africa,83.67,7.75,8.08,7.67,7.67,7.58,7.25,7.67,1
316,317,Arabica,Honduras,North America,83.67,7.33,7.5,7.5,7.67,7.67,8.0,8.0,1
317,318,Arabica,Nicaragua,North America,83.67,7.5,7.67,7.75,7.67,7.67,7.83,7.58,1
318,319,Arabica,Brazil,South America,83.67,7.83,7.58,7.75,7.58,7.75,7.58,7.58,1
319,320,Arabica,Taiwan,Asia,83.67,7.75,7.5,7.67,7.33,7.92,7.83,7.67,1
320,321,Arabica,Costa Rica,North America,83.67,8.33,7.33,7.67,7.67,7.5,7.67,7.5,1
321,322,Arabica,Thailand,Asia,83.67,7.75,7.5,7.75,7.58,7.83,7.67,7.58,1
322,323,Arabica,Colombia,South America,83.67,7.83,7.5,7.75,7.5,7.75,7.67,7.67,1
323,324,Arabica,Guatemala,North America,83.67,7.5,8.0,7.5,7.33,8.0,8.0,8.0,1
324,325,Arabica,Colombia,South America,83.67,7.58,7.83,7.75,7.67,7.58,7.58,7.67,1
325,326,Arabica,Colombia,South America,83.67,7.92,7.67,7.67,7.67,7.67,7.33,7.75,1
326,327,Arabica,Guatemala,North America,83.67,7.5,7.67,7.67,7.42,7.67,8.0,7.75,1
327,328,Arabica,Guatemala,North America,83.67,7.67,7.83,7.67,7.33,7.67,7.67,7.83,1
328,329,Arabica,Colombia,South America,83.67,7.83,7.75,7.75,7.58,7.83,7.17,7.75,1
329,330,Arabica,Guatemala,North America,83.67,8.0,8.17,8.17,7.83,7.67,8.08,7.75,1
330,331,Arabica,Guatemala,North America,83.67,7.5,7.67,8.17,7.5,7.42,7.58,7.83,1
331,332,Arabica,Mexico,North America,83.67,7.58,7.67,7.5,7.5,7.33,7.83,8.25,1
332,333,Arabica,Indonesia,Asia,83.67,7.58,8.17,7.67,7.58,7.58,7.42,7.67,1
333,334,Arabica,Guatemala,North America,83.67,7.83,7.67,7.5,7.33,8.0,7.67,7.67,1
334,335,Arabica,United States of America,North America,83.67,8.17,7.75,8.0,7.92,8.08,7.75,8.0,1
335,336,Arabica,Brazil,South America,83.58,7.92,7.58,7.67,7.58,7.58,7.67,7.58,1
336,337,Arabica,Guatemala,North America,83.58,7.58,7.75,7.75,7.5,7.83,7.58,7.58,1
337,338,Arabica,Colombia,South America,83.58,7.67,7.75,7.75,7.58,7.58,7.67,7.58,1
338,339,Arabica,China,Asia,83.58,7.75,7.67,7.58,7.58,7.58,7.67,7.75,1
339,340,Arabica,Colombia,South America,83.58,7.58,7.67,7.75,7.58,7.67,7.75,7.58,1
340,341,Arabica,Mexico,North America,83.58,7.75,7.75,7.75,7.58,7.58,7.5,7.67,1
341,342,Arabica,Ethiopia,Africa,83.58,7.75,7.75,7.67,7.58,7.67,7.5,7.67,1
342,343,Arabica,Uganda,Africa,83.58,7.67,7.67,7.67,7.42,7.75,7.75,7.67,1
343,344,Arabica,Colombia,South America,83.58,7.67,7.67,7.58,7.67,7.67,7.67,7.67,1
344,345,Arabica,Colombia,South America,83.58,7.67,7.67,7.58,7.67,7.58,7.67,7.75,1
345,346,Arabica,Colombia,South America,83.58,7.58,7.75,7.58,7.5,7.58,7.75,7.83,1
346,347,Arabica,Taiwan,Asia,83.58,7.5,7.75,7.75,7.75,7.75,7.5,7.58,1
347,348,Arabica,Colombia,South America,83.58,7.67,7.67,7.67,7.58,7.67,7.75,7.58,1
348,349,Arabica,Mexico,North America,83.58,7.67,7.83,7.67,7.58,7.58,7.67,7.58,1
349,350,Arabica,Colombia,South America,83.58,7.75,7.67,7.58,7.58,7.58,7.67,7.75,1
350,351,Arabica,Brazil,South America,83.58,7.67,7.83,7.75,7.5,7.75,7.5,7.58,1
351,352,Arabica,Colombia,South America,83.5,7.58,7.75,7.58,7.58,7.75,7.75,7.5,1
352,353,Arabica,Taiwan,Asia,83.5,10.0,7.58,7.58,7.17,7.17,7.0,7.0,1
353,354,Arabica,Costa Rica,North America,83.5,7.83,7.92,7.42,7.5,7.67,7.5,7.67,1
354,355,Arabica,Colombia,South America,83.5,7.58,7.75,7.58,7.58,7.5,7.75,7.75,1
355,356,Arabica,Guatemala,North America,83.5,7.58,7.67,7.75,7.5,7.83,7.58,7.58,1
356,357,Arabica,Colombia,South America,83.5,7.75,7.58,7.58,7.58,7.58,7.75,7.67,1
357,358,Arabica,Tanzania,Africa,83.5,7.58,7.75,7.67,7.58,7.67,7.67,7.58,1
358,359,Arabica,Indonesia,Asia,83.5,7.67,7.25,7.67,7.58,7.92,7.83,7.58,1
359,360,Arabica,Ethiopia,Africa,83.5,7.58,7.67,7.75,7.5,7.58,7.75,7.67,1
360,361,Arabica,Colombia,South America,83.5,7.67,7.67,7.42,7.67,7.83,7.58,7.67,1
361,362,Arabica,Colombia,South America,83.5,7.58,8.0,7.58,7.25,7.58,7.92,7.58,1
362,363,Arabica,Guatemala,North America,83.5,7.75,7.58,7.75,7.5,7.83,7.42,7.67,1
363,364,Arabica,Colombia,South America,83.5,7.67,7.75,7.58,7.33,7.5,7.83,7.83,1
364,365,Arabica,Honduras,North America,83.5,7.83,7.67,7.5,7.67,7.5,7.67,7.67,1
365,366,Arabica,Colombia,South America,83.5,7.67,7.58,7.75,7.42,7.67,7.75,7.67,1
366,367,Arabica,Colombia,South America,83.5,7.58,7.58,7.67,7.58,7.75,7.58,7.75,1
367,368,Arabica,Mexico,North America,83.5,8.42,7.83,7.58,7.25,7.5,7.5,7.42,1
368,369,Arabica,Mexico,North America,83.5,7.58,7.67,7.75,7.67,7.75,7.58,7.5,1
369,370,Arabica,Mexico,North America,83.5,7.83,7.75,7.67,7.67,7.75,7.33,7.5,1
370,371,Arabica,Guatemala,North America,83.5,7.5,7.83,7.5,7.5,8.0,7.67,7.5,1
371,372,Arabica,Colombia,South America,83.5,7.67,7.67,7.58,7.58,7.67,7.67,7.67,1
372,373,Arabica,Guatemala,North America,83.5,7.58,7.5,7.5,7.75,7.5,8.0,7.67,1
373,374,Arabica,United States of America,North America,83.5,7.58,7.5,7.67,7.58,7.92,7.58,7.67,1
374,375,Arabica,Indonesia,Asia,83.5,7.58,7.83,7.58,7.58,7.58,7.75,7.58,1
375,376,Arabica,Colombia,South America,83.42,7.67,7.5,7.58,7.58,7.5,7.75,7.83,1
376,377,Arabica,Guatemala,North America,83.42,7.67,7.67,7.75,7.5,7.58,7.58,7.67,1
377,378,Arabica,Colombia,South America,83.42,7.67,7.67,7.67,7.5,7.67,7.67,7.58,1
378,379,Arabica,Costa Rica,North America,83.42,7.83,7.58,7.5,7.42,7.92,7.5,7.67,1
379,380,Arabica,Taiwan,Asia,83.42,10.0,7.67,7.67,7.0,7.08,7.0,7.0,1
380,381,Arabica,Uganda,Africa,83.42,7.75,7.58,7.75,7.33,7.75,7.67,7.58,1
381,382,Arabica,Thailand,Asia,83.42,7.67,7.5,7.58,7.75,7.5,7.75,7.67,1
382,383,Arabica,El Salvador,North America,83.42,7.58,7.58,7.5,7.75,7.58,7.75,7.67,1
383,384,Arabica,Colombia,South America,83.42,7.67,7.58,7.67,7.58,7.67,7.58,7.67,1
384,385,Arabica,Brazil,South America,83.42,7.75,7.33,7.83,7.75,7.5,7.42,7.83,1
385,386,Arabica,Tanzania,Africa,83.42,7.58,7.75,7.67,7.58,7.67,7.58,7.58,1
386,387,Arabica,Colombia,South America,83.42,7.58,7.58,7.58,7.25,7.75,7.75,8.58,1
387,388,Arabica,Guatemala,North America,83.42,7.5,7.75,7.83,7.33,7.83,7.5,7.67,1
388,389,Arabica,Guatemala,North America,83.42,7.58,7.67,7.75,7.5,7.83,7.58,7.5,1
389,390,Arabica,Guatemala,North America,83.42,7.58,7.67,7.5,7.75,7.42,7.75,7.75,1
390,391,Arabica,United States of America,North America,83.42,7.67,7.42,7.75,7.67,7.58,7.67,7.67,1
391,392,Arabica,Colombia,South America,83.42,7.67,7.5,7.75,7.58,7.5,7.67,7.75,1
392,393,Arabica,Colombia,South America,83.42,7.58,7.58,7.58,7.58,7.67,7.75,7.67,1
393,394,Arabica,United States of America,North America,83.42,7.5,7.5,7.92,7.42,7.67,7.83,7.58,1
394,395,Arabica,Thailand,Asia,83.42,7.83,7.58,7.25,7.5,7.92,7.92,7.42,1
395,396,Arabica,Mexico,North America,83.38,8.0,7.25,7.88,7.38,7.63,7.5,8.75,1
396,397,Arabica,Colombia,South America,83.33,7.58,7.75,7.5,7.75,7.58,7.58,7.58,1
397,398,Arabica,Colombia,South America,83.33,7.67,7.67,7.58,7.58,7.42,7.67,7.75,1
398,399,Arabica,Colombia,South America,83.33,7.67,7.83,7.58,7.58,7.58,7.5,7.58,1
399,400,Arabica,Brazil,South America,83.33,7.58,7.5,7.83,7.33,7.58,7.58,7.92,1
400,401,Arabica,Mexico,North America,83.33,7.58,7.75,7.75,7.5,7.67,7.5,7.58,1
401,402,Arabica,Colombia,South America,83.33,7.42,7.67,7.75,7.42,7.83,7.83,7.42,1
402,403,Arabica,Tanzania,Africa,83.33,7.58,7.75,7.58,7.67,7.58,7.58,7.58,1
403,404,Arabica,Mexico,North America,83.33,7.67,7.67,7.67,7.58,7.67,7.5,7.58,1
404,405,Arabica,Costa Rica,North America,83.33,7.58,7.67,7.67,7.42,7.67,7.67,7.67,1
405,406,Arabica,United States of America,North America,83.33,7.83,7.83,7.58,7.83,7.67,7.92,8.0,1
406,407,Arabica,Costa Rica,North America,83.33,8.0,7.5,7.67,7.67,7.5,7.83,7.17,1
407,408,Arabica,Peru,South America,83.33,7.5,7.83,7.75,7.58,7.83,7.92,7.58,1
408,409,Arabica,Haiti,North America,83.33,7.83,7.58,7.5,7.67,7.5,7.83,7.42,1
409,410,Arabica,Colombia,South America,83.33,7.5,7.67,7.67,7.5,7.67,7.92,7.42,1
410,411,Arabica,Guatemala,North America,83.33,7.67,7.83,7.67,7.17,7.67,7.67,7.67,1
411,412,Arabica,United States of America,North America,83.33,7.83,7.92,7.5,7.58,7.83,7.67,7.67,1
412,413,Arabica,Burundi,Africa,83.33,7.83,7.75,7.67,7.33,7.5,7.5,7.75,1
413,414,Arabica,Colombia,South America,83.33,7.67,7.5,7.67,7.67,7.58,7.67,7.58,1
414,415,Arabica,United States of America,North America,83.33,7.92,8.08,7.83,7.83,7.75,7.67,7.58,1
415,416,Arabica,United States of America,North America,83.33,7.5,7.58,7.67,7.58,7.5,7.83,7.67,1
416,417,Arabica,Mexico,North America,83.25,7.67,7.67,7.83,7.42,7.83,7.33,7.5,1
417,418,Arabica,Costa Rica,North America,83.25,7.58,7.5,7.5,7.83,7.5,7.67,7.67,1
418,419,Arabica,Costa Rica,North America,83.25,7.67,7.83,7.5,7.42,7.67,7.5,7.67,1
419,420,Arabica,Guatemala,North America,83.25,7.67,7.5,7.58,7.42,7.83,7.67,7.58,1
420,421,Arabica,Uganda,Africa,83.25,7.67,7.5,7.67,7.67,7.42,7.67,7.67,1
421,422,Arabica,Brazil,South America,83.25,8.0,7.58,7.67,7.42,7.5,7.67,7.42,1
422,423,Arabica,Colombia,South America,83.25,7.58,7.58,7.67,7.67,7.17,7.75,7.83,1
423,424,Arabica,Mexico,North America,83.25,7.42,7.83,7.75,7.5,7.58,7.58,7.58,1
424,425,Arabica,Taiwan,Asia,83.25,7.58,7.67,7.5,7.5,7.5,7.67,7.83,1
425,426,Arabica,Taiwan,Asia,83.25,7.33,7.92,7.83,7.75,7.58,7.5,7.33,1
426,427,Arabica,Colombia,South America,83.25,7.67,7.58,7.58,7.5,7.58,7.58,7.75,1
427,428,Arabica,Guatemala,North America,83.25,7.67,7.5,7.67,7.58,7.67,7.67,7.5,1
428,429,Arabica,Colombia,South America,83.25,7.58,7.83,7.5,7.67,7.33,7.67,7.67,1
429,430,Arabica,Mexico,North America,83.25,7.75,7.58,7.75,7.5,7.5,7.58,7.58,1
430,431,Arabica,United States of America,North America,83.25,7.67,7.58,7.75,7.83,8.0,8.08,7.67,1
431,432,Arabica,Mexico,North America,83.25,7.67,7.75,7.58,7.58,7.58,7.5,7.58,1
432,433,Arabica,Mexico,North America,83.25,7.58,7.75,7.75,7.42,7.92,7.33,7.5,1
433,434,Arabica,Guatemala,North America,83.25,7.42,7.83,7.58,7.08,7.83,7.42,8.08,1
434,435,Arabica,Brazil,South America,83.25,7.58,7.75,7.67,7.5,7.58,7.58,7.58,1
435,436,Arabica,Colombia,South America,83.25,7.58,7.67,7.58,7.58,7.42,7.83,7.58,1
436,437,Arabica,Colombia,South America,83.25,7.67,7.67,7.67,7.5,7.5,7.58,7.67,1
437,438,Arabica,Colombia,South America,83.25,7.5,7.92,7.75,7.25,7.42,7.83,7.58,1
438,439,Arabica,Colombia,South America,83.25,7.5,8.0,7.67,7.67,7.25,7.67,7.5,1
439,440,Arabica,Colombia,South America,83.25,7.58,7.92,7.75,7.5,7.42,7.42,7.67,1
440,441,Arabica,Brazil,South America,83.17,7.75,7.67,7.42,7.5,7.58,7.67,7.58,1
441,442,Arabica,Guatemala,North America,83.17,7.67,7.58,7.58,7.33,7.67,7.75,7.58,1
442,443,Arabica,Tanzania,Africa,83.17,7.58,7.67,7.58,7.42,7.67,7.67,7.58,1
443,444,Arabica,Peru,South America,83.17,7.5,7.92,7.5,7.5,7.58,7.67,7.5,1
444,445,Arabica,Vietnam,Asia,83.17,7.58,7.58,7.42,7.08,7.33,7.58,8.58,1
445,446,Arabica,Guatemala,North America,83.17,7.5,7.67,7.75,7.42,7.75,7.58,7.5,1
446,447,Arabica,Honduras,North America,83.17,7.5,7.67,7.67,7.5,7.67,7.5,7.67,1
447,448,Arabica,China,Asia,83.17,7.67,7.5,7.67,7.33,7.67,7.67,7.67,1
448,449,Arabica,China,Asia,83.17,7.67,7.67,7.67,7.5,7.67,7.42,7.58,1
449,450,Arabica,El Salvador,North America,83.17,7.5,7.5,7.5,7.33,7.67,8.0,7.67,1
450,451,Arabica,Guatemala,North America,83.17,7.5,7.5,7.75,7.5,7.83,7.58,7.5,1
451,452,Arabica,Guatemala,North America,83.17,7.42,7.92,7.67,7.42,7.75,7.5,7.5,1
452,453,Arabica,Kenya,Africa,83.17,7.83,7.83,7.75,7.67,7.75,7.83,8.5,1
453,454,Arabica,Thailand,Asia,83.17,7.5,7.67,7.58,7.58,7.75,7.42,7.67,1
454,455,Arabica,Tanzania,Africa,83.17,7.67,7.58,7.67,7.67,7.58,7.42,7.58,1
455,456,Arabica,Colombia,South America,83.17,7.75,7.58,7.5,7.5,7.67,7.5,7.67,1
456,457,Arabica,Uganda,Africa,83.17,7.67,8.0,7.67,7.5,7.42,7.33,7.58,1
457,458,Arabica,Colombia,South America,83.17,7.58,7.58,7.75,7.5,7.58,7.58,7.58,1
458,459,Arabica,Honduras,North America,83.17,7.67,7.5,7.5,7.5,7.67,7.67,7.67,1
459,460,Arabica,Honduras,North America,83.17,7.5,7.67,7.67,7.5,7.67,7.5,7.67,1
460,461,Arabica,Guatemala,North America,83.17,7.67,7.33,7.83,7.17,8.17,7.33,7.67,1
461,462,Arabica,United States of America,North America,83.17,7.58,7.5,7.5,7.58,7.42,7.92,7.67,1
462,463,Arabica,Tanzania,Africa,83.17,7.58,7.58,7.5,7.58,7.75,7.58,7.58,1
463,464,Arabica,Guatemala,North America,83.17,7.5,7.67,7.83,7.33,7.67,7.5,7.67,1
464,465,Arabica,Mexico,North America,83.17,7.75,7.75,7.58,7.58,7.58,7.5,7.42,1
465,466,Arabica,Mexico,North America,83.17,7.67,7.75,7.67,7.58,7.5,7.42,7.58,1
466,467,Arabica,Mexico,North America,83.17,7.67,7.58,7.75,7.42,7.67,7.5,7.58,1
467,468,Arabica,Colombia,South America,83.17,7.25,7.67,7.5,7.5,7.5,7.58,8.17,1
468,469,Arabica,Mexico,North America,83.17,7.58,7.75,7.5,7.42,7.75,7.58,7.58,1
469,470,Arabica,Colombia,South America,83.17,7.5,7.58,7.67,7.5,7.58,7.67,7.67,1
470,471,Arabica,Mexico,North America,83.17,7.58,7.5,7.75,7.58,7.58,7.67,7.5,1
471,472,Arabica,Brazil,South America,83.17,7.5,7.75,7.67,7.58,7.5,7.58,7.58,1
472,473,Arabica,Brazil,South America,83.17,7.67,7.92,7.58,7.5,7.58,7.42,7.5,1
473,474,Arabica,Guatemala,North America,83.17,7.5,7.75,7.5,7.67,7.5,7.92,8.0,1
474,475,Arabica,Brazil,South America,83.17,7.58,7.75,7.5,7.58,7.5,7.75,7.5,1
475,476,Arabica,Brazil,South America,83.17,7.42,7.58,7.75,7.67,7.5,7.67,7.58,1
476,477,Arabica,El Salvador,North America,83.17,7.58,7.42,7.83,8.17,8.08,7.17,7.58,1
477,478,Arabica,Ethiopia,Africa,83.17,7.92,7.75,8.0,7.67,8.08,7.83,7.92,1
478,479,Arabica,Colombia,South America,83.08,7.5,7.58,7.67,7.33,7.67,7.75,7.58,1
479,480,Arabica,Colombia,South America,83.08,7.17,7.75,7.5,7.5,7.42,8.0,7.75,1
480,481,Arabica,Brazil,South America,83.08,7.58,7.58,7.58,7.58,7.5,7.67,7.58,1
481,482,Arabica,Brazil,South America,83.08,7.92,7.33,7.67,7.67,7.33,7.75,7.42,1
482,483,Arabica,Taiwan,Asia,83.08,7.75,7.83,7.92,7.5,7.83,7.67,7.25,1
483,484,Arabica,Brazil,South America,83.08,7.5,7.42,7.67,7.58,7.5,7.75,7.67,1
484,485,Arabica,Brazil,South America,83.08,7.67,7.58,7.83,7.67,7.42,7.42,7.5,1
485,486,Arabica,Costa Rica,North America,83.08,7.5,7.83,7.33,7.5,7.67,7.58,7.67,1
486,487,Arabica,United States of America,North America,83.08,7.58,7.33,7.75,7.58,7.33,7.83,7.67,1
487,488,Arabica,Taiwan,Asia,83.08,7.58,7.75,7.75,7.5,7.5,7.5,7.5,1
488,489,Arabica,United States of America,North America,83.08,7.5,7.83,7.83,7.33,7.17,7.75,7.67,1
489,490,Arabica,Mexico,North America,83.08,7.5,7.75,7.67,7.42,7.75,7.5,7.5,1
490,491,Arabica,United States of America,North America,83.08,8.08,7.67,7.58,7.5,7.67,7.92,8.0,1
491,492,Arabica,United States of America,North America,83.08,7.42,7.33,7.58,7.58,7.92,7.67,7.58,1
492,493,Arabica,Colombia,South America,83.08,8.17,7.33,7.33,7.33,7.58,7.25,8.08,1
493,494,Arabica,Colombia,South America,83.08,7.58,7.83,7.75,7.33,7.25,7.42,7.92,1
494,495,Arabica,Indonesia,Asia,83.08,7.5,7.67,7.58,7.5,7.58,7.67,7.58,1
495,496,Arabica,Guatemala,North America,83.08,7.75,7.92,7.67,7.67,7.25,7.83,7.67,1
496,497,Arabica,Brazil,South America,83.0,7.5,7.58,7.5,7.5,7.75,7.67,7.5,1
497,498,Arabica,Brazil,South America,83.0,7.58,7.5,7.58,7.58,7.67,7.58,7.5,1
498,499,Arabica,Brazil,South America,83.0,7.58,7.5,7.67,7.58,7.67,7.58,7.42,1
499,500,Arabica,Uganda,Africa,83.0,7.58,7.67,7.58,7.42,7.42,7.83,7.5,1
500,501,Arabica,Uganda,Africa,83.0,7.67,7.67,7.67,7.5,7.58,7.42,7.5,1
501,502,Arabica,Colombia,South America,83.0,7.58,7.67,7.67,7.33,7.67,7.5,7.58,1
502,503,Arabica,Vietnam,Asia,83.0,8.0,7.75,7.67,7.58,7.58,7.42,7.67,1
503,504,Arabica,Guatemala,North America,83.0,7.42,7.67,7.75,7.33,7.92,7.42,7.5,1
504,505,Arabica,Guatemala,North America,83.0,7.58,7.75,7.67,7.33,7.75,7.5,7.42,1
505,506,Arabica,Guatemala,North America,83.0,7.33,7.83,7.67,7.25,7.67,7.75,7.5,1
506,507,Arabica,Brazil,South America,83.0,7.58,7.67,7.67,7.67,7.5,7.42,7.5,1
507,508,Arabica,Taiwan,Asia,83.0,7.17,7.92,7.92,7.83,7.58,7.33,7.25,1
508,509,Arabica,Uganda,Africa,83.0,7.5,7.83,7.58,7.5,7.5,7.58,7.5,1
509,510,Arabica,United States of America,North America,83.0,7.42,7.67,7.5,7.67,7.83,7.75,7.83,1
510,511,Arabica,Guatemala,North America,83.0,7.42,7.67,7.67,7.42,7.83,7.5,7.5,1
511,512,Arabica,Costa Rica,North America,83.0,7.67,7.67,7.58,7.5,7.58,7.5,7.5,1
512,513,Arabica,Brazil,South America,83.0,7.5,7.75,7.58,7.42,7.67,7.42,7.67,1
513,514,Arabica,Colombia,South America,83.0,8.25,7.75,7.42,7.33,7.5,7.58,7.17,1
514,515,Arabica,Colombia,South America,83.0,7.58,7.83,7.5,7.58,7.33,7.5,7.67,1
515,516,Arabica,Colombia,South America,83.0,7.5,7.33,7.67,7.75,7.42,7.75,7.58,1
516,517,Arabica,Colombia,South America,83.0,7.58,7.58,7.75,7.42,7.67,7.58,7.42,1
517,518,Arabica,Colombia,South America,83.0,7.67,7.5,7.5,7.42,7.58,7.75,7.58,1
518,519,Arabica,Mexico,North America,83.0,7.58,7.67,7.58,7.42,7.5,7.67,7.58,1
519,520,Arabica,Mexico,North America,83.0,7.83,7.67,7.83,7.5,7.58,7.58,7.67,1
520,521,Arabica,Mexico,North America,83.0,7.67,7.5,7.67,7.5,7.5,7.58,7.58,1
521,522,Arabica,Colombia,South America,83.0,7.5,7.67,7.58,7.5,7.5,7.75,7.5,1
522,523,Arabica,Colombia,South America,83.0,7.58,7.75,7.58,7.5,7.67,7.83,7.75,1
523,524,Arabica,Colombia,South America,83.0,7.5,7.67,7.58,7.58,7.58,7.67,7.42,1
524,525,Arabica,Guatemala,North America,83.0,7.33,7.5,7.67,7.5,7.67,7.5,7.83,1
525,526,Arabica,Colombia,South America,83.0,7.5,7.67,7.67,7.58,7.5,7.67,7.42,1
526,527,Arabica,Thailand,Asia,83.0,7.5,7.33,7.67,7.58,7.5,7.75,7.67,1
527,528,Arabica,Colombia,South America,83.0,7.58,7.33,7.67,7.58,7.33,7.58,7.92,1
528,529,Arabica,United States of America,North America,83.0,8.08,7.83,7.83,7.67,7.83,7.92,7.83,1
529,530,Arabica,United States of America,North America,83.0,7.67,7.5,7.58,7.42,7.58,7.58,7.67,1
530,531,Arabica,Colombia,South America,83.0,7.42,7.5,7.58,7.67,7.67,7.58,7.58,1
531,532,Arabica,Nicaragua,North America,83.0,7.92,7.58,7.83,7.75,7.92,7.92,8.08,1
532,533,Arabica,Thailand,Asia,83.0,7.42,7.5,7.25,7.42,7.75,8.17,7.5,1
533,534,Arabica,Brazil,South America,82.92,7.5,7.67,7.58,7.5,7.58,7.58,7.5,1
534,535,Arabica,El Salvador,North America,82.92,7.5,7.5,7.5,7.75,7.58,7.92,7.83,1
535,536,Arabica,Colombia,South America,82.92,7.58,7.58,7.67,7.5,7.33,7.67,7.58,1
536,537,Arabica,Taiwan,Asia,82.92,7.75,7.17,7.83,7.25,7.67,7.67,7.58,1
